survived,class,sex,age,sib_sp,parch,fare,deck,cabin_number,embarked,set
0,3,0,22,1,0,7.25,NA,NA,S,train
1,1,1,38,1,0,71.2833,C,5,C,train
1,3,1,26,0,0,7.925,NA,NA,S,train
1,1,1,35,1,0,53.1,C,3,S,train
0,3,0,35,0,0,8.05,NA,NA,S,train
0,3,0,NA,0,0,8.4583,NA,NA,Q,train
0,1,0,54,0,0,51.8625,E,6,S,train
0,3,0,2,3,1,21.075,NA,NA,S,train
1,3,1,27,0,2,11.1333,NA,NA,S,train
1,2,1,14,1,0,30.0708,NA,NA,C,train
1,3,1,4,1,1,16.7,G,6,S,train
1,1,1,58,0,0,26.55,C,3,S,train
0,3,0,20,0,0,8.05,NA,NA,S,train
0,3,0,39,1,5,31.275,NA,NA,S,train
0,3,1,14,0,0,7.8542,NA,NA,S,train
1,2,1,55,0,0,16,NA,NA,S,train
0,3,0,2,4,1,29.125,NA,NA,Q,train
1,2,0,NA,0,0,13,NA,NA,S,train
0,3,1,31,1,0,18,NA,NA,S,train
1,3,1,NA,0,0,7.225,NA,NA,C,train
0,2,0,35,0,0,26,NA,NA,S,train
1,2,0,34,0,0,13,D,6,S,train
1,3,1,15,0,0,8.0292,NA,NA,Q,train
1,1,0,28,0,0,35.5,A,6,S,train
0,3,1,8,3,1,21.075,NA,NA,S,train
1,3,1,38,1,5,31.3875,NA,NA,S,train
0,3,0,NA,0,0,7.225,NA,NA,C,train
0,1,0,19,3,2,263,C,7,S,train
1,3,1,NA,0,0,7.8792,NA,NA,Q,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,1,0,40,0,0,27.7208,NA,NA,C,train
1,1,1,NA,1,0,146.5208,B,8,C,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
0,2,0,66,0,0,10.5,NA,NA,S,train
0,1,0,28,1,0,82.1708,NA,NA,C,train
0,1,0,42,1,0,52,NA,NA,S,train
1,3,0,NA,0,0,7.2292,NA,NA,C,train
0,3,0,21,0,0,8.05,NA,NA,S,train
0,3,1,18,2,0,18,NA,NA,S,train
1,3,1,14,1,0,11.2417,NA,NA,C,train
0,3,1,40,1,0,9.475,NA,NA,S,train
0,2,1,27,1,0,21,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,C,train
1,2,1,3,1,2,41.5792,NA,NA,C,train
1,3,1,19,0,0,7.8792,NA,NA,Q,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
0,3,0,NA,1,0,15.5,NA,NA,Q,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
0,3,0,NA,2,0,21.6792,NA,NA,C,train
0,3,1,18,1,0,17.8,NA,NA,S,train
0,3,0,7,4,1,39.6875,NA,NA,S,train
0,3,0,21,0,0,7.8,NA,NA,S,train
1,1,1,49,1,0,76.7292,D,3,C,train
1,2,1,29,1,0,26,NA,NA,S,train
0,1,0,65,0,1,61.9792,B,0,C,train
1,1,0,NA,0,0,35.5,C,2,S,train
1,2,1,21,0,0,10.5,NA,NA,S,train
0,3,0,28.5,0,0,7.2292,NA,NA,C,train
1,2,1,5,1,2,27.75,NA,NA,S,train
0,3,0,11,5,2,46.9,NA,NA,S,train
0,3,0,22,0,0,7.2292,NA,NA,C,train
1,1,1,38,0,0,80,B,8,NA,train
0,1,0,45,1,0,83.475,C,3,S,train
0,3,0,4,3,2,27.9,NA,NA,S,train
0,1,0,NA,0,0,27.7208,NA,NA,C,train
1,3,0,NA,1,1,15.2458,NA,NA,C,train
1,2,1,29,0,0,10.5,F,3,S,train
0,3,0,19,0,0,8.1583,NA,NA,S,train
1,3,1,17,4,2,7.925,NA,NA,S,train
0,3,0,26,2,0,8.6625,NA,NA,S,train
0,2,0,32,0,0,10.5,NA,NA,S,train
0,3,1,16,5,2,46.9,NA,NA,S,train
0,2,0,21,0,0,73.5,NA,NA,S,train
0,3,0,26,1,0,14.4542,NA,NA,C,train
1,3,0,32,0,0,56.4958,NA,NA,S,train
0,3,0,25,0,0,7.65,F,3,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
1,2,0,0.83,0,2,29,NA,NA,S,train
1,3,1,30,0,0,12.475,NA,NA,S,train
0,3,0,22,0,0,9,NA,NA,S,train
1,3,0,29,0,0,9.5,NA,NA,S,train
1,3,1,NA,0,0,7.7875,NA,NA,Q,train
0,1,0,28,0,0,47.1,NA,NA,S,train
1,2,1,17,0,0,10.5,NA,NA,S,train
1,3,1,33,3,0,15.85,NA,NA,S,train
0,3,0,16,1,3,34.375,NA,NA,S,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
1,1,1,23,3,2,263,C,7,S,train
0,3,0,24,0,0,8.05,NA,NA,S,train
0,3,0,29,0,0,8.05,NA,NA,S,train
0,3,0,20,0,0,7.8542,NA,NA,S,train
0,1,0,46,1,0,61.175,E,1,S,train
0,3,0,26,1,2,20.575,NA,NA,S,train
0,3,0,59,0,0,7.25,NA,NA,S,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
0,1,0,71,0,0,34.6542,A,5,C,train
1,1,0,23,0,1,63.3583,D,2,C,train
1,2,1,34,0,1,23,NA,NA,S,train
0,2,0,34,1,0,26,NA,NA,S,train
0,3,1,28,0,0,7.8958,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,1,0,21,0,1,77.2875,D,6,S,train
0,3,0,33,0,0,8.6542,NA,NA,S,train
0,3,0,37,2,0,7.925,NA,NA,S,train
0,3,0,28,0,0,7.8958,NA,NA,S,train
1,3,1,21,0,0,7.65,NA,NA,S,train
1,3,0,NA,0,0,7.775,NA,NA,S,train
0,3,0,38,0,0,7.8958,NA,NA,S,train
1,3,1,NA,1,0,24.15,NA,NA,Q,train
0,1,0,47,0,0,52,C,0,S,train
0,3,1,14.5,1,0,14.4542,NA,NA,C,train
0,3,0,22,0,0,8.05,NA,NA,S,train
0,3,1,20,1,0,9.825,NA,NA,S,train
0,3,1,17,0,0,14.4583,NA,NA,C,train
0,3,0,21,0,0,7.925,NA,NA,S,train
0,3,0,70.5,0,0,7.75,NA,NA,Q,train
0,2,0,29,1,0,21,NA,NA,S,train
0,1,0,24,0,1,247.5208,B,0,C,train
0,3,1,2,4,2,31.275,NA,NA,S,train
0,2,0,21,2,0,73.5,NA,NA,S,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
0,2,0,32.5,1,0,30.0708,NA,NA,C,train
1,2,1,32.5,0,0,13,E,1,S,train
0,1,0,54,0,1,77.2875,D,6,S,train
1,3,0,12,1,0,11.2417,NA,NA,C,train
0,3,0,NA,0,0,7.75,NA,NA,Q,train
1,3,0,24,0,0,7.1417,NA,NA,S,train
1,3,1,NA,1,1,22.3583,F,9,C,train
0,3,0,45,0,0,6.975,NA,NA,S,train
0,3,0,33,0,0,7.8958,NA,NA,C,train
0,3,0,20,0,0,7.05,NA,NA,S,train
0,3,1,47,1,0,14.5,NA,NA,S,train
1,2,1,29,1,0,26,NA,NA,S,train
0,2,0,25,0,0,13,NA,NA,S,train
0,2,0,23,0,0,15.0458,NA,NA,C,train
1,1,1,19,0,2,26.2833,D,7,S,train
0,1,0,37,1,0,53.1,C,3,S,train
0,3,0,16,0,0,9.2167,NA,NA,S,train
0,1,0,24,0,0,79.2,B,6,C,train
0,3,1,NA,0,2,15.2458,NA,NA,C,train
1,3,1,22,0,0,7.75,NA,NA,S,train
1,3,1,24,1,0,15.85,NA,NA,S,train
0,3,0,19,0,0,6.75,NA,NA,Q,train
0,2,0,18,0,0,11.5,NA,NA,S,train
0,2,0,19,1,1,36.75,NA,NA,S,train
1,3,0,27,0,0,7.7958,NA,NA,S,train
0,3,1,9,2,2,34.375,NA,NA,S,train
0,2,0,36.5,0,2,26,F,2,S,train
0,2,0,42,0,0,13,NA,NA,S,train
0,2,0,51,0,0,12.525,NA,NA,S,train
1,1,1,22,1,0,66.6,C,2,S,train
0,3,0,55.5,0,0,8.05,NA,NA,S,train
0,3,0,40.5,0,2,14.5,NA,NA,S,train
0,3,0,NA,0,0,7.3125,NA,NA,S,train
0,1,0,51,0,1,61.3792,NA,NA,C,train
1,3,1,16,0,0,7.7333,NA,NA,Q,train
0,3,0,30,0,0,8.05,NA,NA,S,train
0,3,0,NA,0,0,8.6625,NA,NA,S,train
0,3,0,NA,8,2,69.55,NA,NA,S,train
0,3,0,44,0,1,16.1,NA,NA,S,train
1,2,1,40,0,0,15.75,NA,NA,S,train
0,3,0,26,0,0,7.775,NA,NA,S,train
0,3,0,17,0,0,8.6625,NA,NA,S,train
0,3,0,1,4,1,39.6875,NA,NA,S,train
1,3,0,9,0,2,20.525,NA,NA,S,train
1,1,1,NA,0,1,55,E,3,S,train
0,3,1,45,1,4,27.9,NA,NA,S,train
0,1,0,NA,0,0,25.925,NA,NA,S,train
0,3,0,28,0,0,56.4958,NA,NA,S,train
0,1,0,61,0,0,33.5,B,9,S,train
0,3,0,4,4,1,29.125,NA,NA,Q,train
1,3,1,1,1,1,11.1333,NA,NA,S,train
0,3,0,21,0,0,7.925,NA,NA,S,train
0,1,0,56,0,0,30.6958,A,7,C,train
0,3,0,18,1,1,7.8542,NA,NA,S,train
0,3,0,NA,3,1,25.4667,NA,NA,S,train
0,1,1,50,0,0,28.7125,C,9,C,train
0,2,0,30,0,0,13,NA,NA,S,train
0,3,0,36,0,0,0,NA,NA,S,train
0,3,1,NA,8,2,69.55,NA,NA,S,train
0,2,0,NA,0,0,15.05,NA,NA,C,train
0,3,0,9,4,2,31.3875,NA,NA,S,train
1,2,0,1,2,1,39,F,4,S,train
1,3,1,4,0,2,22.025,NA,NA,S,train
0,1,0,NA,0,0,50,A,2,S,train
1,3,1,NA,1,0,15.5,NA,NA,Q,train
1,1,0,45,0,0,26.55,NA,NA,S,train
0,3,0,40,1,1,15.5,NA,NA,Q,train
0,3,0,36,0,0,7.8958,NA,NA,S,train
1,2,1,32,0,0,13,NA,NA,S,train
0,2,0,19,0,0,13,NA,NA,S,train
1,3,1,19,1,0,7.8542,NA,NA,S,train
1,2,0,3,1,1,26,F,2,S,train
1,1,1,44,0,0,27.7208,B,4,C,train
1,1,1,58,0,0,146.5208,B,0,C,train
0,3,0,NA,0,0,7.75,NA,NA,Q,train
0,3,0,42,0,1,8.4042,NA,NA,S,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
0,2,1,24,0,0,13,NA,NA,S,train
0,3,0,28,0,0,9.5,NA,NA,S,train
0,3,0,NA,8,2,69.55,NA,NA,S,train
0,3,0,34,0,0,6.4958,NA,NA,S,train
0,3,0,45.5,0,0,7.225,NA,NA,C,train
1,3,0,18,0,0,8.05,NA,NA,S,train
0,3,1,2,0,1,10.4625,G,6,S,train
0,3,0,32,1,0,15.85,NA,NA,S,train
1,3,0,26,0,0,18.7875,NA,NA,C,train
1,3,1,16,0,0,7.75,NA,NA,Q,train
1,1,0,40,0,0,31,A,1,C,train
0,3,0,24,0,0,7.05,NA,NA,S,train
1,2,1,35,0,0,21,NA,NA,S,train
0,3,0,22,0,0,7.25,NA,NA,S,train
0,2,0,30,0,0,13,NA,NA,S,train
0,3,0,NA,1,0,7.75,NA,NA,Q,train
1,1,1,31,1,0,113.275,D,6,C,train
1,3,1,27,0,0,7.925,NA,NA,S,train
0,2,0,42,1,0,27,NA,NA,S,train
1,1,1,32,0,0,76.2917,D,5,C,train
0,2,0,30,0,0,10.5,NA,NA,S,train
1,3,0,16,0,0,8.05,NA,NA,S,train
0,2,0,27,0,0,13,NA,NA,S,train
0,3,0,51,0,0,8.05,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
1,1,0,38,1,0,90,C,3,S,train
0,3,0,22,0,0,9.35,NA,NA,S,train
1,2,0,19,0,0,10.5,NA,NA,S,train
0,3,0,20.5,0,0,7.25,NA,NA,S,train
0,2,0,18,0,0,13,NA,NA,S,train
0,3,1,NA,3,1,25.4667,NA,NA,S,train
1,1,1,35,1,0,83.475,C,3,S,train
0,3,0,29,0,0,7.775,NA,NA,S,train
0,2,0,59,0,0,13.5,NA,NA,S,train
1,3,1,5,4,2,31.3875,NA,NA,S,train
0,2,0,24,0,0,10.5,NA,NA,S,train
0,3,1,NA,0,0,7.55,NA,NA,S,train
0,2,0,44,1,0,26,NA,NA,S,train
1,2,1,8,0,2,26.25,NA,NA,S,train
0,2,0,19,0,0,10.5,NA,NA,S,train
0,2,0,33,0,0,12.275,NA,NA,S,train
0,3,1,NA,1,0,14.4542,NA,NA,C,train
1,3,1,NA,1,0,15.5,NA,NA,Q,train
0,2,0,29,0,0,10.5,NA,NA,S,train
0,3,0,22,0,0,7.125,NA,NA,S,train
0,3,0,30,0,0,7.225,NA,NA,C,train
0,1,0,44,2,0,90,C,8,Q,train
0,3,1,25,0,0,7.775,NA,NA,S,train
1,2,1,24,0,2,14.5,NA,NA,S,train
1,1,0,37,1,1,52.5542,D,5,S,train
0,2,0,54,1,0,26,NA,NA,S,train
0,3,0,NA,0,0,7.25,NA,NA,S,train
0,3,1,29,1,1,10.4625,G,6,S,train
0,1,0,62,0,0,26.55,C,7,S,train
0,3,0,30,1,0,16.1,NA,NA,S,train
0,3,1,41,0,2,20.2125,NA,NA,S,train
1,3,1,29,0,2,15.2458,NA,NA,C,train
1,1,1,NA,0,0,79.2,NA,NA,C,train
1,1,1,30,0,0,86.5,B,7,S,train
1,1,1,35,0,0,512.3292,NA,NA,C,train
1,2,1,50,0,1,26,NA,NA,S,train
0,3,0,NA,0,0,7.75,NA,NA,Q,train
1,3,0,3,4,2,31.3875,NA,NA,S,train
0,1,0,52,1,1,79.65,E,7,S,train
0,1,0,40,0,0,0,B,4,S,train
0,3,1,NA,0,0,7.75,NA,NA,Q,train
0,2,0,36,0,0,10.5,NA,NA,S,train
0,3,0,16,4,1,39.6875,NA,NA,S,train
1,3,0,25,1,0,7.775,NA,NA,S,train
1,1,1,58,0,1,153.4625,C,5,S,train
1,1,1,35,0,0,135.6333,C,9,S,train
0,1,0,NA,0,0,31,NA,NA,S,train
1,3,0,25,0,0,0,NA,NA,S,train
1,2,1,41,0,1,19.5,NA,NA,S,train
0,1,0,37,0,1,29.7,C,8,C,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
1,1,1,63,1,0,77.9583,D,7,S,train
0,3,1,45,0,0,7.75,NA,NA,S,train
0,2,0,NA,0,0,0,NA,NA,S,train
0,3,0,7,4,1,29.125,NA,NA,Q,train
1,3,1,35,1,1,20.25,NA,NA,S,train
0,3,0,65,0,0,7.75,NA,NA,Q,train
0,3,0,28,0,0,7.8542,NA,NA,S,train
0,3,0,16,0,0,9.5,NA,NA,S,train
1,3,0,19,0,0,8.05,NA,NA,S,train
0,1,0,NA,0,0,26,A,9,S,train
0,3,0,33,0,0,8.6625,NA,NA,C,train
1,3,0,30,0,0,9.5,NA,NA,S,train
0,3,0,22,0,0,7.8958,NA,NA,S,train
1,2,0,42,0,0,13,NA,NA,S,train
1,3,1,22,0,0,7.75,NA,NA,Q,train
1,1,1,26,0,0,78.85,NA,NA,S,train
1,1,1,19,1,0,91.0792,B,9,C,train
0,2,0,36,0,0,12.875,D,NA,C,train
0,3,1,24,0,0,8.85,NA,NA,S,train
0,3,0,24,0,0,7.8958,NA,NA,S,train
0,1,0,NA,0,0,27.7208,NA,NA,C,train
0,3,0,23.5,0,0,7.2292,NA,NA,C,train
0,1,1,2,1,2,151.55,C,6,S,train
1,1,0,NA,0,0,30.5,C,6,S,train
1,1,1,50,0,1,247.5208,B,0,C,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
1,3,0,NA,2,0,23.25,NA,NA,Q,train
0,3,0,19,0,0,0,NA,NA,S,train
1,2,1,NA,0,0,12.35,E,1,Q,train
0,3,0,NA,0,0,8.05,NA,NA,S,train
1,1,0,0.92,1,2,151.55,C,6,S,train
1,1,1,NA,0,0,110.8833,NA,NA,C,train
1,1,1,17,1,0,108.9,C,5,C,train
0,2,0,30,1,0,24,NA,NA,C,train
1,1,1,30,0,0,56.9292,E,6,C,train
1,1,1,24,0,0,83.1583,C,4,C,train
1,1,1,18,2,2,262.375,B,6,C,train
0,2,1,26,1,1,26,NA,NA,S,train
0,3,0,28,0,0,7.8958,NA,NA,S,train
0,2,0,43,1,1,26.25,NA,NA,S,train
1,3,1,26,0,0,7.8542,NA,NA,S,train
1,2,1,24,1,0,26,NA,NA,S,train
0,2,0,54,0,0,14,NA,NA,S,train
1,1,1,31,0,2,164.8667,C,7,S,train
1,1,1,40,1,1,134.5,E,4,C,train
0,3,0,22,0,0,7.25,NA,NA,S,train
0,3,0,27,0,0,7.8958,NA,NA,S,train
1,2,1,30,0,0,12.35,NA,NA,Q,train
1,2,1,22,1,1,29,NA,NA,S,train
0,3,0,NA,8,2,69.55,NA,NA,S,train
1,1,1,36,0,0,135.6333,C,2,C,train
0,3,0,61,0,0,6.2375,NA,NA,S,train
1,2,1,36,0,0,13,D,NA,S,train
1,3,1,31,1,1,20.525,NA,NA,S,train
1,1,1,16,0,1,57.9792,B,8,C,train
1,3,1,NA,2,0,23.25,NA,NA,Q,train
0,1,0,45.5,0,0,28.5,C,4,S,train
0,1,0,38,0,1,153.4625,C,1,S,train
0,3,0,16,2,0,18,NA,NA,S,train
1,1,1,NA,1,0,133.65,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,1,0,29,1,0,66.6,C,2,S,train
1,1,1,41,0,0,134.5,E,0,C,train
1,3,0,45,0,0,8.05,NA,NA,S,train
0,1,0,45,0,0,35.5,T,NA,S,train
1,2,0,2,1,1,26,F,2,S,train
1,1,1,24,3,2,263,C,7,S,train
0,2,0,28,0,0,13,NA,NA,S,train
0,2,0,25,0,0,13,NA,NA,S,train
0,2,0,36,0,0,13,NA,NA,S,train
1,2,1,24,0,0,13,F,3,S,train
1,2,1,40,0,0,13,NA,NA,S,train
1,3,1,NA,1,0,16.1,NA,NA,S,train
1,3,0,3,1,1,15.9,NA,NA,S,train
0,3,0,42,0,0,8.6625,NA,NA,S,train
0,3,0,23,0,0,9.225,NA,NA,S,train
0,1,0,NA,0,0,35,C,8,S,train
0,3,0,15,1,1,7.2292,NA,NA,C,train
0,3,0,25,1,0,17.8,NA,NA,S,train
0,3,0,NA,0,0,7.225,NA,NA,C,train
0,3,0,28,0,0,9.5,NA,NA,S,train
1,1,1,22,0,1,55,E,3,S,train
0,2,1,38,0,0,13,NA,NA,S,train
1,3,1,NA,0,0,7.8792,NA,NA,Q,train
1,3,1,NA,0,0,7.8792,NA,NA,Q,train
0,3,0,40,1,4,27.9,NA,NA,S,train
0,2,0,29,1,0,27.7208,NA,NA,C,train
0,3,1,45,0,1,14.4542,NA,NA,C,train
0,3,0,35,0,0,7.05,NA,NA,S,train
0,3,0,NA,1,0,15.5,NA,NA,Q,train
0,3,0,30,0,0,7.25,NA,NA,S,train
1,1,1,60,1,0,75.25,D,7,C,train
1,3,1,NA,0,0,7.2292,NA,NA,C,train
1,3,1,NA,0,0,7.75,NA,NA,Q,train
1,1,1,24,0,0,69.3,B,5,C,train
1,1,0,25,1,0,55.4417,E,0,C,train
0,3,0,18,1,0,6.4958,NA,NA,S,train
0,3,0,19,0,0,8.05,NA,NA,S,train
0,1,0,22,0,0,135.6333,NA,NA,C,train
0,3,1,3,3,1,21.075,NA,NA,S,train
1,1,1,NA,1,0,82.1708,NA,NA,C,train
1,3,1,22,0,0,7.25,NA,NA,S,train
0,1,0,27,0,2,211.5,C,2,C,train
0,3,0,20,0,0,4.0125,NA,NA,C,train
0,3,0,19,0,0,7.775,NA,NA,S,train
1,1,1,42,0,0,227.525,NA,NA,C,train
1,3,1,1,0,2,15.7417,NA,NA,C,train
0,3,0,32,0,0,7.925,NA,NA,S,train
1,1,1,35,1,0,52,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,2,0,18,0,0,73.5,NA,NA,S,train
0,3,0,1,5,2,46.9,NA,NA,S,train
1,2,1,36,0,0,13,NA,NA,S,train
0,3,0,NA,0,0,7.7292,NA,NA,Q,train
1,2,1,17,0,0,12,NA,NA,C,train
1,1,0,36,1,2,120,B,8,S,train
1,3,0,21,0,0,7.7958,NA,NA,S,train
0,3,0,28,2,0,7.925,NA,NA,S,train
1,1,1,23,1,0,113.275,D,6,C,train
1,3,1,24,0,2,16.7,G,6,S,train
0,3,0,22,0,0,7.7958,NA,NA,S,train
0,3,1,31,0,0,7.8542,NA,NA,S,train
0,2,0,46,0,0,26,NA,NA,S,train
0,2,0,23,0,0,10.5,NA,NA,S,train
1,2,1,28,0,0,12.65,NA,NA,S,train
1,3,0,39,0,0,7.925,NA,NA,S,train
0,3,0,26,0,0,8.05,NA,NA,S,train
0,3,1,21,1,0,9.825,NA,NA,S,train
0,3,0,28,1,0,15.85,NA,NA,S,train
0,3,1,20,0,0,8.6625,NA,NA,S,train
0,2,0,34,1,0,21,NA,NA,S,train
0,3,0,51,0,0,7.75,NA,NA,S,train
1,2,0,3,1,1,18.75,NA,NA,S,train
0,3,0,21,0,0,7.775,NA,NA,S,train
0,3,1,NA,3,1,25.4667,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,S,train
0,3,0,NA,0,0,6.8583,NA,NA,Q,train
1,1,1,33,1,0,90,C,8,Q,train
0,2,0,NA,0,0,0,NA,NA,S,train
1,3,0,44,0,0,7.925,NA,NA,S,train
0,3,1,NA,0,0,8.05,NA,NA,S,train
1,2,1,34,1,1,32.5,NA,NA,S,train
1,2,1,18,0,2,13,NA,NA,S,train
0,2,0,30,0,0,13,NA,NA,S,train
0,3,1,10,0,2,24.15,NA,NA,S,train
0,3,0,NA,0,0,7.8958,NA,NA,C,train
0,3,0,21,0,0,7.7333,NA,NA,Q,train
0,3,0,29,0,0,7.875,NA,NA,S,train
0,3,1,28,1,1,14.4,NA,NA,S,train
0,3,0,18,1,1,20.2125,NA,NA,S,train
0,3,0,NA,0,0,7.25,NA,NA,S,train
1,2,1,28,1,0,26,NA,NA,S,train
1,2,1,19,0,0,26,NA,NA,S,train
0,3,0,NA,0,0,7.75,NA,NA,Q,train
1,3,0,32,0,0,8.05,E,0,S,train
1,1,0,28,0,0,26.55,C,2,S,train
1,3,1,NA,1,0,16.1,NA,NA,S,train
1,2,1,42,1,0,26,NA,NA,S,train
0,3,0,17,0,0,7.125,NA,NA,S,train
0,1,0,50,1,0,55.9,E,4,S,train
1,1,1,14,1,2,120,B,8,S,train
0,3,1,21,2,2,34.375,NA,NA,S,train
1,2,1,24,2,3,18.75,NA,NA,S,train
0,1,0,64,1,4,263,C,7,S,train
0,2,0,31,0,0,10.5,NA,NA,S,train
1,2,1,45,1,1,26.25,NA,NA,S,train
0,3,0,20,0,0,9.5,NA,NA,S,train
0,3,0,25,1,0,7.775,NA,NA,S,train
1,2,1,28,0,0,13,NA,NA,S,train
